fid_1,id,Tree_name,DBH,Height,X,Y,Species,Comments,Stress_Ind,Dendromete,Leaf_sampl,SPAD,WP1,WP2,Name,descriptio,Spectro,Dend_code,layer,F_Weight,D_Weight,F_Weight_2,D_Weight_2,Dry_Weight,path
34,1.000000000000000,AP-P3-T2,28.969999999999999,18.350000000000001,649437.515419329283759,3748387.605149874929339,Blue spruce,"No leaves on the top, few folliage.",4.000000000000000,92246649,1, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
35,1.000000000000000,AP-P3-T3,40.170000000000002,17.739999999999998,649398.646052063675597,3748356.015811044257134,Blue spruce,Two trunks. Dendrometer in one,7.000000000000000,92246650,1, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
36,0.000000000000000, ,0.000000000000000,0.000000000000000,649408.173467923304997,3748363.477634461130947, ,Dead blue spruce,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
37,0.000000000000000, ,0.000000000000000,0.000000000000000,649402.086836289614439,3748364.463813506066799, ,Ponderosas,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
38,0.000000000000000, ,0.000000000000000,0.000000000000000,649398.741990862530656,3748349.206154549960047, ,Dead blue spruce,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
39,0.000000000000000, ,0.000000000000000,0.000000000000000,649402.228523682220839,3748345.325694781728089, ,Ponderosas healthy,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
40,0.000000000000000, ,0.000000000000000,0.000000000000000,649396.073510375921614,3748337.358499145600945, ,Ponderosa healthy,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
41,0.000000000000000, ,0.000000000000000,0.000000000000000,649417.308423892245628,3748339.403144414070994, ,Ponderosa healthy,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
42,0.000000000000000, ,0.000000000000000,0.000000000000000,649420.639058489352465,3748345.443897097371519, ,Ponderosa healthy,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
43,0.000000000000000, ,0.000000000000000,0.000000000000000,649421.810425756499171,3748352.648400860838592, ,Ponderosas healtfy,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
44,0.000000000000000, ,0.000000000000000,0.000000000000000,649424.516503573977388,3748362.101291062775999, ,Ponderosa burner trunk,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
5,0.000000000000000,Dead tree probably because a lightning,0.000000000000000,0.000000000000000,432952.009111766237766,3891179.854362716898322,Pinus Ponderosa,No considered for instrumentation,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
6,1.000000000000000,Arb01-T003,75.280000000000001,24.600000000000001,432965.614265558542684,3891213.211043280083686,Pinus Ponderosa, ,10.000000000000000,92240364,0,0,0.000000000000000,0.000000000000000, , ,0,92240364.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
10,1.000000000000000,Arb01-T005,33.423000000000002,18.800000000000001,433017.647398835513741,3891147.020620702765882,Pinus Ponderosa, ,0.000000000000000,92240362,0,0,0.000000000000000,0.000000000000000, , ,0,92240362.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
12,1.000000000000000,Arb01-T006,71.301000000000002,30.699999999999999,432998.849816488567740,3891150.486853500828147,Pinus Ponderosa, ,0.000000000000000,92240369,0,0,0.000000000000000,0.000000000000000, , ,0,92240369.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
13,1.000000000000000,Oscar experiment-Tree 1,0.000000000000000,0.000000000000000,432988.032907295506448,3891165.724318847060204,Location is fine,Dendrometer 92224502. T01 oscsr,0.000000000000000,92224502, , ,0.000000000000000,0.000000000000000, , , ,92224502.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
19,1.000000000000000,Arb01-T002 This is the correct,31.131000000000000,15.500000000000000,432957.905741649330594,3891197.186369196977466,Pinus Ponderosa, ,10.000000000000000,92240320,0,0,0.000000000000000,0.000000000000000, , ,0,92240320.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
20,1.000000000000000,Arb01-T001 updated may 24,52.043999999999997,15.100000000000000,432978.805044229608029,3891190.562099245842546,Pinus Ponderosa,In front of Phenocam,10.000000000000000,92240363,0,0,0.000000000000000,0.000000000000000, , ,0,92240363.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
21,1.000000000000000,Arb01-T004,48.860999999999997,23.300000000000001,433039.586180525890086,3891137.246408542618155,Pinus Ponderosa,Updated position of Arb01-T004. May 2024,10.000000000000000,92240365,0,0,0.000000000000000,0.000000000000000, , ,0,92240365.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
22,1.000000000000000,Oscar experiment-Tree1,0.000000000000000,0.000000000000000,432991.065947932191193,3891185.850232921540737,Pinus Ponderosa,Oscar T01. Updated location 28may,0.000000000000000,92224502, , ,0.000000000000000,0.000000000000000, , , ,92224502.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
24,1.000000000000000,Oscar experiment-Tree 3 (64),0.000000000000000,0.000000000000000,433002.567907861666754,3891181.143995395861566,Pinus Ponderosa,Oscar experiment T03. Location updated 8,0.000000000000000,92224504, , ,0.000000000000000,0.000000000000000, , , ,92224504.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
25,1.000000000000000,Oscar experiment-Tree 2 (65),0.000000000000000,0.000000000000000,432998.894847672083415,3891177.104517626110464,Pinus Ponderosa,Oscar experiment T02. Updated location 2,0.000000000000000,92224505, , ,0.000000000000000,0.000000000000000, , , ,92224505.000000000000000,Arboretum_28-May-24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
3,1.000000000000000,BR1-1,48.100000000000001,8.699999999999999,415232.041865935432725,3863572.863319060299546,Juniper Monosperm,PhenoCam FOV,10.000000000000000,92240332,2,0,2.460000000000000,2.490000000000000, , ,1,92240332.000000000000000,Bradshaw_Ranch,6.910000000000000,3.861100000000000,5.610000000000000,3.190800000000000,0.000000000000000,C:/Users/pa589/NAU/TREE_STRESS/FIELDWORK/FIELDWORK_OVERALL/Field_data_combined_29Jun24.shp
