Species,SP_CODE,Tree_name,PLOT,Level,REPS,Dendrometer,Time,Stress_Level,FW,DW,WP,LT,LWC,Y,X,DBH,Height,Year,,,,
Juniper Monosperm,JUMO,BR-P1-T5,BR,L1,1,92240373,Pre_Dawn,10,0.95,0.56,3.842,1.366666667,0.410526316,34.91234,-111.931,139.3,7.4,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T5,BR,L2,1,92240373,Pre_Dawn,10,1.04,0.48,NA,1.2,0.538461538,34.91234,-111.931,139.3,7.4,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T6,BR,L1,1,92240374,Pre_Dawn,10,1.67,0.94,3.148,1.233333333,0.437125749,34.91231,-111.931,33.2,4.7,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T6,BR,L2,1,92240374,Pre_Dawn,10,1.18,0.63,3.291,0.966666667,0.466101695,34.91231,-111.931,33.2,4.7,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T1,BR,L1,1,92240332,Mid_Day,9,1.08,2.15,4.925,0.933333333,-0.990740741,34.91106,-111.928,128.2,9.5,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T1,BR,L2,1,92240332,Mid_Day,9,2.25,3.01,4.709,1.1,-0.337777778,34.91106,-111.928,128.2,9.5,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T2,BR,L1,1,92240313,Mid_Day,10,1.56,2.22,3.743,1.066666667,-0.423076923,34.91098,-111.928,102.8,4.9,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T2,BR,L2,1,92240313,Mid_Day,10,2.15,2.68,3.708,0.933333333,-0.246511628,34.91098,-111.928,102.8,4.9,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T3,BR,L1,1,92240372,Mid_Day,10,0.82,1.99,NA,1,-1.426829268,34.91226,-111.931,112.5,8.6,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T3,BR,L2,1,92240372,Mid_Day,10,2.51,2.85,4.262,1.3,-0.135458167,34.91226,-111.931,112.5,8.6,2025,,,,
Pinus edulis,PIED,BR-P1-T4,BR,L1,1,92240375,Mid_Day,10,2.29,2.55,1.902,0.8,-0.113537118,34.91232,-111.931,99.1,10,2025,,,,
Pinus edulis,PIED,BR-P1-T4,BR,L2,1,92240375,Mid_Day,10,2.31,1.55,1.99,1,0.329004329,34.91232,-111.931,99.1,10,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T5,BR,L1,1,92240373,Mid_Day,10,2.75,1.51,NA,1.533333333,0.450909091,34.91234,-111.931,139.3,7.4,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T5,BR,L2,1,92240373,Mid_Day,10,2.41,1.35,NA,1.266666667,0.439834025,34.91234,-111.931,139.3,7.4,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T6,BR,L1,1,92240374,Mid_Day,10,2.27,1.32,NA,1.3,0.418502203,34.91231,-111.931,33.2,4.7,2025,,,,
Juniper Monosperm,JUMO,BR-P1-T6,BR,L2,1,92240374,Mid_Day,10,NA,NA,NA,NA,NA,34.91231,-111.931,33.2,4.7,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T1,FR,L1,1,92240329,Pre_Dawn,0,NA,NA,NA,NA,NA,35.34304,-111.75,177.6,18.8,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T1,FR,L2,1,92240329,Pre_Dawn,0,NA,NA,NA,NA,NA,35.34304,-111.75,177.6,18.8,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T2,FR,L1,1,92240330,Pre_Dawn,10,0.6,0.31,1.357,0.733333333,0.483333333,35.34282,-111.75,185.4,23.4,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T2,FR,L2,1,92240330,Pre_Dawn,10,0.47,0.22,1.953,0.7,0.531914894,35.34282,-111.75,185.4,23.4,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T1,FR,L1,1,92240325,Pre_Dawn,10,0.48,0.25,1.943,0.833333333,0.479166667,35.35963,-111.749,196.3,19.5,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T1,FR,L2,1,92240325,Pre_Dawn,10,0.45,0.19,1.46,0.733333333,0.577777778,35.35963,-111.749,196.3,19.5,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T2,FR,L1,1,92246690,Pre_Dawn,10,0.43,0.22,2.16,0.766666667,0.488372093,35.35978,-111.749,199.8,21,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T2,FR,L2,1,92246690,Pre_Dawn,10,0.46,0.22,1.623,0.666666667,0.52173913,35.35978,-111.749,199.8,21,2025,,,,
Aspen,POTR,FR-P5-T1,FR,L1,1,92246688,Pre_Dawn,0,NA,NA,NA,NA,NA,35.36572,-111.743,150.1,23.7,2025,,,,
Aspen,POTR,FR-P5-T1,FR,L2,1,92246688,Pre_Dawn,0,NA,NA,NA,NA,NA,35.36572,-111.743,150.1,23.7,2025,,,,
Aspen,POTR,FR-P5-T2,FR,L1,1,92246689,Pre_Dawn,10,NA,NA,NA,NA,NA,35.36566,-111.743,138.5,27.7,2025,,,,
Aspen,POTR,FR-P5-T2,FR,L2,1,92246689,Pre_Dawn,10,NA,NA,NA,NA,NA,35.36566,-111.743,138.5,27.7,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T1,FR,L1,1,92240329,Mid_Day,0,NA,NA,NA,NA,NA,35.34304,-111.75,177.6,18.8,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T1,FR,L2,1,92240329,Mid_Day,0,NA,NA,NA,NA,NA,35.34304,-111.75,177.6,18.8,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T2,FR,L1,1,92240330,Mid_Day,10,0.56,0.19,NA,0.733333333,0.660714286,35.34282,-111.75,185.4,23.4,2025,,,,
Pinus Ponderosa,PIPO,FR-P1-T2,FR,L2,1,92240330,Mid_Day,10,0.84,0.4,NA,1.033333333,0.523809524,35.34282,-111.75,185.4,23.4,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T1,FR,L1,1,92240325,Mid_Day,10,0.39,0.19,NA,0.833333333,0.512820513,35.35963,-111.749,196.3,19.5,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T1,FR,L2,1,92240325,Mid_Day,10,0.31,0.19,3.057,0.666666667,0.387096774,35.35963,-111.749,196.3,19.5,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T2,FR,L1,1,92246690,Mid_Day,10,0.34,0.2,3.612,0.633333333,0.411764706,35.35978,-111.749,199.8,21,2025,,,,
Pinus Ponderosa,PIPO,FR-P4-T2,FR,L2,1,92246690,Mid_Day,10,0.4,0.21,2.407,0.766666667,0.475,35.35978,-111.749,199.8,21,2025,,,,
Aspen,POTR,FR-P5-T1,FR,L1,1,92246688,Mid_Day,0,NA,NA,NA,NA,NA,35.36572,-111.743,150.1,23.7,2025,,,,
Aspen,POTR,FR-P5-T1,FR,L2,1,92246688,Mid_Day,0,NA,NA,NA,NA,NA,35.36572,-111.743,150.1,23.7,2025,,,,
Aspen,POTR,FR-P5-T2,FR,L1,1,92246689,Mid_Day,10,NA,NA,NA,NA,NA,35.36566,-111.743,138.5,27.7,2025,,,,
Aspen,POTR,FR-P5-T2,FR,L2,1,92246689,Mid_Day,10,NA,NA,NA,NA,NA,35.36566,-111.743,138.5,27.7,2025,,,,
Pinyon Pine,PIED,JD-P7-T1,JD,L1,1,92240360,Pre_Dawn,8,3.61,1.96,3.45,0.7,0.457063712,35.46413,-111.551,68,3.4,2025,,,,
Pinyon Pine,PIED,JD-P7-T1,JD,L2,1,92240360,Pre_Dawn,8,2.73,1.43,1.916,0.666666667,0.476190476,35.46413,-111.551,68,3.4,2025,,,,
Juniper Monosperm,JUMO,JD-P25-T1,JD,L1,1,92240333,Pre_Dawn,4,6.89,3.72,2.251,1.033333333,0.460087083,35.53113,-111.534,157,2.5,2025,,,,
Juniper Monosperm,JUMO,JD-P25-T1,JD,L2,1,92240333,Pre_Dawn,4,7.27,3.33,2.26,1,0.541953232,35.53113,-111.534,157,2.5,2025,,,,
